int,string,string,string,int,int
index,xing,five,bishun,jiegou,bushou
编号,字形,五行属性,笔顺,结构,部首
000001,一,t,h,1,005
000002,乙,t,hzwg,1,006
000003,二,h,h-h,1,018
000004,十,j,h-s,1,031
000005,丁,h,h-sg,1,005
000006,厂,j,h-p,1,014
000007,七,j,h-swg,1,005
000008,卜,s,s-d,1,013
000009,八,s,p-n,1,009
000010,人,j,p-n,1,028
000011,入,j,p-n,1,030
000012,儿,j,p-swg,1,017
000013,匕,j,p-swg,1,011
000014,几,m,p-hzwg,1,022
000015,九,m,p-hzwg,1,003
000016,刁,h,hzg-t,1,015
000017,了,h,hp-sg,1,006
000018,刀,j,hzg-p,1,015
000019,力,h,hzg-p,1,025
000020,乃,h,hzzzg-p,1,003
000021,又,t,hp-n,1,037
000022,三,j,h-h-h,1,005
000023,干,m,h-h-s,1,047
000024,于,t,h-h-sg,1,018
000025,亏,m,h-h-szzg,1,018
000026,工,m,h-s-h,1,048
000027,土,t,h-s-h,1,071
000028,士,j,h-s-h,1,066
000029,才,j,h-sg-p,1,067
000030,下,s,h-s-d,1,005
000031,寸,j,h-sg-d,1,044
000032,大,h,h-p-n,1,045
000033,丈,h,h-p-n,1,005
000034,与,t,h-szzg-h,1,005
000035,万,s,h-hzg-p,1,005
000036,上,j,s-h-h,1,005
000037,小,j,sg-p-d,1,075
000038,口,m,s-hz-h,1,056
000039,山,t,s-sz-s,1,062
000040,巾,m,s-hzg-s,1,055
000041,千,j,p-h-s,1,031
000042,乞,m,p-h-hzwg,1,006
000043,川,j,p-s-s,1,042
000044,亿,t,p-s-hzwg,2,029
000045,个,t,p-n-s,1,028
000046,夕,j,p-hp-d,1,074
000047,久,m,p-hp-n,1,003
000048,么,s,p-pz-d,1,003
000049,勺,h,p-hzg-d,1,010
000050,凡,s,p-hzwg-d,1,022
000051,丸,t,p-hzwg-d,1,003
000052,及,m,p-hzzp-n,1,037
000053,广,m,d-h-p,1,051
000054,亡,s,d-h-sz,1,033
000055,门,s,d-s-hzg,1,058
000056,丫,t,d-p-s,1,001
000057,义,m,d-p-n,1,008
000058,之,h,d-hp-n,1,008
000059,尸,j,hz-h-p,1,064
000060,己,t,hz-h-swg,1,052
000061,已,m,hz-h-swg,1,052
000062,巳,h,hz-h-swg,1,070
000063,弓,m,hz-h-szzg,1,049
000064,子,s,hp-sg-h,1,081
000065,卫,t,hzg-s-h,1,023
000066,也,t,hzg-s-swg,1,006
000067,女,h,pd-p-h,1,060
000068,刃,j,hzg-p-d,1,015
000069,飞,s,hzwg-p-d,1,046
000070,习,s,hzg-d-t,1,006
000071,叉,j,hp-n-d,1,037
000072,马,s,hz-szzg-h,1,057
000073,乡,s,pz-pz-p,1,006
000074,丰,h,h-h-h-s,1,001
000075,王,t,h-h-s-h,1,121
000076,开,m,h-h-p-s,1,050
000077,井,h,h-h-p-s,1,018
000078,天,h,h-h-p-n,1,045
000079,夫,s,h-h-p-n,1,045
000080,元,m,h-h-p-swg,1,018
000081,无,s,h-h-p-swg,1,005
000082,云,s,h-h-pz-d,1,018
000083,专,j,h-h-szp-d,1,005
000084,丐,m,h-s-h-szzg,1,005
000085,扎,j,h-sg-t-swg,2,067
000086,艺,m,h-s-s-hzwg,3,038
000087,木,m,h-s-p-n,1,102
000088,五,m,h-s-hz-h,1,018
000089,支,h,h-s-hp-n,1,131
000090,厅,h,h-p-h-sg,7,014
000091,不,s,h-p-s-d,1,005
000092,犬,m,h-p-n-d,1,112
000093,太,h,h-p-n-d,1,045
000094,区,m,h-p-d-sz,11,019
000095,历,h,h-p-hzg-p,7,014
000096,歹,s,h-p-hp-d,1,087
000097,友,t,h-p-hp-n,7,037
000098,尤,t,h-p-swg-d,1,079
000099,匹,s,h-p-swg-sz,11,019
000100,车,j,h-pz-h-s,1,086
000101,巨,m,h-hz-h-sz,11,019
000102,牙,m,h-pz-sg-p,1,126
000103,屯,h,h-sz-s-swg,1,039
000104,戈,j,h-xg-p-d,1,093
000105,比,s,h-st-p-swg,2,083
000106,互,s,h-pz-hp-h,1,018
000107,切,t,h-st-hzg-p,2,015
000108,瓦,t,h-st-hzwg-d,1,119
000109,止,h,s-h-s-h,1,132
000110,少,j,s-p-d-p,3,075
000111,曰,t,s-hz-h-h,1,128
000112,日,h,s-hz-h-h,1,113
000113,中,h,s-hz-h-s,1,001
000114,贝,s,s-hz-p-d,1,082
000115,冈,s,s-hzg-p-d,9,024
000116,内,h,s-hzg-p-d,1,024
000117,水,s,sg-hp-p-n,1,118
000118,见,m,s-hz-p-swg,1,098
000119,午,h,p-h-h-s,1,031
000120,牛,m,p-h-h-s,1,104
000121,手,j,p-h-h-sg,1,116
000122,气,m,p-h-h-hzwg,1,110
000123,毛,s,p-h-h-swg,1,101
000124,壬,s,p-h-s-h,1,066
000125,升,j,p-h-p-s,1,031
000126,夭,t,p-h-p-n,1,045
000127,长,h,p-h-st-n,1,085
000128,仁,j,p-s-h-h,2,029
000129,什,j,p-s-h-s,2,029
000130,片,s,p-s-h-hz,1,107
000131,仆,s,p-s-s-d,2,029
000132,化,s,p-s-p-swg,2,029
000133,仇,j,p-s-p-hzwg,2,029
000134,币,s,p-s-hzg-s,3,055
000135,仍,j,p-s-hzzzg-p,2,029
000136,仅,m,p-s-hp-n,2,029
000137,斤,m,p-p-h-s,1,099
000138,爪,j,p-p-s-n,1,133
000139,反,s,p-p-hp-n,7,037
000140,介,m,p-n-p-s,3,028
000141,父,s,p-d-p-n,1,092
000142,从,h,p-d-p-n,2,028
000143,仑,h,p-n-p-swg,3,028
000144,今,m,p-n-d-hp,3,028
000145,凶,s,p-d-sz-s,10,027
000146,分,s,p-n-hzg-p,3,015
000147,乏,j,p-d-hp-n,3,003
000148,公,m,p-n-pz-d,3,009
000149,仓,j,p-n-hzg-swg,3,028
000150,月,m,p-hzg-h-h,1,129
000151,氏,j,p-st-h-xg,1,114
000152,勿,s,p-hzg-p-p,6,010
000153,欠,m,p-hp-p-n,1,111
000154,风,s,p-hzwg-p-d,9,091
000155,丹,h,p-hzg-d-h,1,003
000156,匀,m,p-hzg-d-t,6,010
000157,乌,h,p-hzg-szzg-h,1,003
000158,勾,m,p-hzg-pz-d,6,010
000159,凤,s,p-hzwg-hp-d,9,022
000160,六,h,d-h-p-d,3,009
000161,文,s,d-h-p-n,1,123
000162,亢,m,d-h-p-hzwg,3,033
000163,方,s,d-h-hzg-p,1,090
000164,火,h,d-p-p-n,1,096
000165,为,t,d-p-hzg-d,1,008
000166,斗,h,d-d-h-s,1,088
000167,忆,t,d-d-s-hzwg,2,076
000168,计,s,d-hzt-h-s,2,035
000169,订,h,d-hzt-h-sg,2,035
000170,户,s,d-hz-h-p,1,095
000171,认,j,d-hzt-p-n,2,035
000172,冗,j,d-hp-p-hzwg,3,026
000173,讥,m,d-hzt-p-hzwg,2,035
000174,心,j,d-xg-d-d,1,125
000175,尺,h,hz-h-p-n,1,064
000176,引,t,hz-h-szzg-s,2,049
000177,丑,h,hz-s-h-h,1,005
000178,巴,s,hz-s-h-swg,1,070
000179,孔,m,hp-sg-t-swg,2,081
000180,队,h,hpwg-s-p-n,2,020
000181,办,s,hzg-p-d-d,1,025
000182,以,t,st-d-p-d,2,028
000183,允,t,pz-d-p-swg,3,017
000184,予,t,hp-d-hp-sg,1,006
000185,邓,h,hp-d-hpwg-s,2,020
000186,劝,m,hp-d-hzg-p,2,025
000187,双,j,hp-d-hp-n,2,037
000188,书,j,hz-hzg-s-d,1,006
000189,幻,s,pz-pz-d-hzg,2,077
000190,玉,m,h-h-s-h-d,1,162
000191,刊,j,h-h-s-s-sg,2,016
000192,未,m,h-h-s-p-n,1,102
000193,末,s,h-h-s-p-n,1,102
000194,示,j,h-h-sg-p-d,1,153
000195,击,m,h-h-s-sz-s,1,027
000196,打,h,h-sg-t-h-sg,2,067
000197,巧,m,h-s-t-h-szzg,2,048
000198,正,j,h-s-h-s-h,3,132
